Class Times	10
Rooms	25
1	692
2	701
3	768
4	786
5	66
6	695
7	444
8	917
9	415
10	190
11	713
12	112
13	620
14	928
15	956
16	574
17	727
18	24
19	681
20	272
21	126
22	790
23	428
24	867
25	431
Classes	250
Teachers	125
1	123
2	92
3	39
4	85
5	92
6	23
7	24
8	46
9	9
10	113
11	93
12	35
13	75
14	67
15	80
16	6
17	85
18	86
19	5
20	115
21	52
22	3
23	103
24	6
25	88
26	19
27	86
28	91
29	72
30	25
31	53
32	48
33	16
34	31
35	1
36	33
37	116
38	108
39	13
40	96
41	19
42	68
43	36
44	97
45	97
46	101
47	116
48	44
49	103
50	56
51	58
52	29
53	105
54	53
55	66
56	124
57	35
58	50
59	64
60	12
61	48
62	102
63	110
64	88
65	10
66	13
67	22
68	18
69	15
70	96
71	71
72	89
73	28
74	101
75	69
76	84
77	77
78	106
79	21
80	59
81	89
82	74
83	124
84	118
85	43
86	33
87	68
88	77
89	112
90	109
91	42
92	117
93	38
94	70
95	59
96	112
97	69
98	98
99	98
100	108
101	27
102	7
103	36
104	31
105	46
106	64
107	20
108	93
109	43
110	10
111	117
112	7
113	2
114	118
115	47
116	37
117	44
118	38
119	23
120	73
121	90
122	81
123	4
124	60
125	83
126	11
127	57
128	113
129	63
130	123
131	56
132	87
133	87
134	122
135	41
136	42
137	15
138	16
139	39
140	30
141	63
142	3
143	70
144	18
145	34
146	8
147	30
148	79
149	1
150	105
151	66
152	25
153	122
154	84
155	8
156	72
157	71
158	81
159	90
160	55
161	26
162	121
163	2
164	76
165	79
166	80
167	65
168	60
169	102
170	83
171	11
172	21
173	99
174	100
175	74
176	28
177	20
178	9
179	107
180	32
181	26
182	37
183	61
184	32
185	61
186	65
187	94
188	106
189	120
190	110
191	22
192	58
193	45
194	73
195	91
196	121
197	62
198	125
199	4
200	17
201	115
202	104
203	78
204	55
205	104
206	17
207	51
208	67
209	5
210	24
211	119
212	78
213	45
214	100
215	29
216	49
217	114
218	41
219	111
220	99
221	114
222	47
223	50
224	82
225	27
226	111
227	12
228	51
229	49
230	52
231	82
232	62
233	109
234	76
235	95
236	57
237	119
238	125
239	34
240	120
241	94
242	54
243	14
244	40
245	75
246	54
247	14
248	107
249	40
250	95
