Students	50
1	4 6 7 14	3	3	0
2	6 4 9 10	3	3	0
3	4 16 9 13	2	-1	0
4	7 15 16 13	2	-1	0
5	8 9 15 20	3	3	0
6	1 16 21 9	1	-1	0
7	11 14 20 7	3	3	0
8	5 16 13 12	2	-1	0
9	2 7 13 21	3	2	0
10	1 20 15 9	1	-1	0
11	5 19 12 4	3	2	0
12	1 16 6 4	1	-1	0
13	16 6 4 13	3	3	0
14	20 11 14 5	2	-1	0
15	1 11 10 13	1	-1	0
16	2 14 19 9	4	3	0
17	2 14 19 6	2	-1	0
18	13 8 21 20	3	2	0
19	21 15 14 5	4	2	0
20	18 20 7 6	3	1	0
21	16 18 13 6	2	-1	0
22	6 10 3 12	4	2	0
23	1 11 2 15	1	-1	0
24	1 12 18 15	1	-1	0
25	2 9 21 18	2	-1	0
26	1 18 5 17	1	-1	0
27	1 2 16 18	1	-1	0
28	1 11 15 2	1	-1	0
29	20 3 10 19	2	-1	0
30	2 9 15 12	4	3	0
31	1 10 12 7	1	-1	0
32	6 9 13 21	2	-1	0
33	8 7 2 5	2	-1	0
34	1 20 10 13	1	-1	0
35	20 16 7 14	4	2	0
36	8 17 16 9	4	1	0
37	14 3 18 4	4	3	0
38	1 5 12 9	1	-1	0
39	4 17 3 12	2	-1	0
40	15 12 6 14	3	1	0
41	1 17 20 16	1	-1	0
42	9 4 11 8	2	-1	0
43	17 9 5 15	4	1	0
44	1 17 13 15	1	-1	0
45	11 8 9 17	3	2	0
46	17 12 4 14	3	1	0
47	1 12 8 6	1	-1	0
48	8 14 21 11	3	3	0
49	1 14 3 21	1	-1	0
50	13 2 6 10	4	2	0
