Class Times	4
Rooms	10
1	809	C	0
2	10	C	1
3	519	B	1
4	599	A	0
5	526	B	0
6	160	A	1
7	980	C	0
8	488	A	1
9	948	C	1
10	469	C	1
Classes	40
Teachers	20
1	10	4	B
2	6	2	A
3	20	2	A
4	11	1	A
5	18	6	C
6	2	4	B
7	5	1	A
8	9	3	B
9	14	2	A
10	14	2	A
11	3	5	C
12	8	7	C
13	3	7	C
14	20	3	B
15	13	7	C
16	19	6	C
17	10	2	A
18	6	1	A
19	17	3	B
20	19	7	C
21	18	7	C
22	8	2	A
23	16	2	A
24	7	5	C
25	4	2	A
26	17	2	A
27	11	4	B
28	5	5	C
29	2	2	A
30	13	6	C
31	4	5	C
32	1	2	A
33	12	6	C
34	16	1	A
35	9	6	C
36	12	6	C
37	1	4	B
38	7	1	A
39	15	1	A
40	15	4	B
