Students	200
1	20 19 4 14	1	-1	0
2	27 3 38 6	4	1	0
3	2 8 30 10	1	-1	0
4	11 17 23 40	2	-1	0
5	29 3 17 10	2	-1	0
6	33 24 36 18	3	7	0
7	39 6 15 40	4	2	0
8	33 23 35 32	4	2	0
9	21 25 26 7	1	-1	0
10	12 26 2 37	2	-1	0
11	36 18 5 23	3	1	0
12	33 16 15 23	1	-1	0
13	8 20 17 6	1	-1	0
14	40 28 13 19	2	-1	0
15	18 23 35 13	3	7	0
16	36 7 27 23	2	-1	0
17	12 24 9 40	3	3	0
18	21 24 28 32	4	6	0
19	31 28 9 21	1	-1	0
20	26 19 38 15	4	4	0
21	9 26 29 34	2	-1	0
22	16 20 4 29	1	-1	0
23	21 17 8 3	1	-1	0
24	2 15 23 3	3	5	0
25	19 34 13 25	4	7	0
26	35 21 34 37	4	3	0
27	6 32 9 27	3	7	0
28	2 40 9 23	3	4	0
29	2 15 18 24	3	5	0
30	9 12 10 39	2	-1	0
31	29 35 1 20	2	-1	0
32	37 38 20 29	3	7	0
33	35 40 23 39	4	5	0
34	9 24 21 38	4	1	0
35	24 20 26 21	2	-1	0
36	21 14 40 12	4	1	0
37	27 17 28 15	3	3	0
38	18 8 25 30	3	3	0
39	5 23 6 32	1	-1	0
40	2 10 8 21	1	-1	0
41	40 6 2 34	2	-1	0
42	1 32 33 21	4	1	0
43	5 29 2 19	4	2	0
44	36 4 10 22	4	5	0
45	6 34 3 16	3	4	0
46	3 35 22 10	4	5	0
47	17 6 20 7	1	-1	0
48	32 9 1 38	3	6	1
49	35 13 11 39	2	-1	0
50	27 6 32 40	4	6	0
51	39 28 29 12	1	-1	0
52	24 32 3 4	2	-1	0
53	8 1 40 28	2	-1	0
54	22 2 4 1	2	-1	0
55	14 13 19 34	1	-1	0
56	31 3 26 36	3	1	0
57	22 40 1 31	4	4	0
58	20 22 12 35	4	6	0
59	39 22 35 16	4	6	0
60	28 4 8 20	3	4	0
61	8 7 25 29	4	2	0
62	17 37 5 27	1	-1	0
63	26 30 6 16	4	2	0
64	4 25 16 27	2	-1	1
65	27 15 36 14	3	1	0
66	18 9 5 36	2	-1	0
67	21 31 36 12	1	-1	0
68	2 35 15 24	1	-1	0
69	13 5 3 9	2	-1	0
70	35 40 28 31	2	-1	0
71	19 25 36 23	2	-1	0
72	6 35 31 39	1	-1	0
73	27 10 21 11	2	-1	0
74	12 32 37 20	4	2	0
75	18 26 29 35	4	2	0
76	30 20 24 7	1	-1	0
77	36 3 40 37	1	-1	0
78	10 35 27 11	4	2	0
79	2 15 30 9	1	-1	0
80	39 38 23 6	3	7	0
81	3 4 19 17	2	-1	0
82	40 4 23 1	4	7	0
83	35 11 23 9	2	-1	0
84	24 22 38 12	3	4	0
85	31 29 16 20	1	-1	0
86	12 29 38 36	4	1	0
87	36 39 28 20	3	3	0
88	37 28 16 26	3	5	0
89	28 10 15 6	4	3	0
90	22 16 11 29	3	2	0
91	37 19 28 6	2	-1	0
92	31 26 4 36	2	-1	0
93	33 28 39 6	4	4	0
94	18 10 3 2	4	3	0
95	28 37 16 19	3	1	0
96	12 25 2 20	2	-1	0
97	17 32 15 8	3	4	0
98	18 11 33 28	3	1	0
99	2 16 26 29	4	3	0
100	35 30 32 7	4	7	0
101	36 26 35 10	4	3	0
102	40 8 32 18	3	4	0
103	35 33 18 14	2	-1	0
104	40 15 36 22	4	2	0
105	34 5 39 32	1	-1	0
106	4 25 9 15	2	-1	0
107	35 3 32 20	2	-1	0
108	24 11 21 4	3	2	0
109	9 38 26 8	3	4	0
110	6 31 34 12	3	5	0
111	32 36 3 6	4	5	0
112	14 11 31 7	1	-1	0
113	26 23 32 16	2	-1	0
114	12 1 17 36	4	3	0
115	9 34 36 27	4	5	0
116	22 36 31 37	3	4	0
117	11 26 2 8	1	-1	0
118	12 4 7 32	2	-1	0
119	22 10 34 27	2	-1	0
120	8 36 32 29	1	-1	0
121	22 5 30 37	2	-1	0
122	29 36 5 9	2	-1	0
123	28 25 33 10	4	3	0
